date,state,fips,cases,deaths,POPESTIMATE2019
2020-04-20,Texas,48,20035,523,28995881
2020-04-21,Texas,48,20949,552,28995881
2020-04-22,Texas,48,21769,571,28995881
2020-04-23,Texas,48,22706,601,28995881
2020-04-24,Texas,48,23650,625,28995881
2020-04-25,Texas,48,24494,662,28995881
2020-04-26,Texas,48,25209,676,28995881
2020-04-27,Texas,48,25963,699,28995881
2020-04-28,Texas,48,26868,738,28995881
2020-04-29,Texas,48,27839,776,28995881
2020-04-30,Texas,48,29072,828,28995881
2020-05-01,Texas,48,30342,853,28995881
2020-05-02,Texas,48,31433,875,28995881
2020-05-03,Texas,48,32299,890,28995881
2020-05-04,Texas,48,33134,914,28995881
2020-05-05,Texas,48,34286,955,28995881
2020-05-06,Texas,48,35441,985,28995881
2020-05-07,Texas,48,36682,1016,28995881
2020-05-08,Texas,48,37943,1059,28995881
2020-05-09,Texas,48,38849,1086,28995881
2020-05-10,Texas,48,40037,1110,28995881
2020-05-11,Texas,48,40988,1137,28995881
2020-05-12,Texas,48,42348,1169,28995881
2020-05-13,Texas,48,43822,1205,28995881
2020-05-14,Texas,48,45169,1256,28995881
2020-05-15,Texas,48,46987,1300,28995881
2020-05-16,Texas,48,47866,1330,28995881
2020-05-17,Texas,48,48828,1356,28995881
2020-05-18,Texas,48,49788,1362,28995881
2020-05-19,Texas,48,51080,1405,28995881
2020-05-20,Texas,48,52369,1443,28995881
2020-05-21,Texas,48,53441,1480,28995881
2020-05-22,Texas,48,54369,1498,28995881
2020-05-23,Texas,48,55386,1522,28995881
2020-05-24,Texas,48,56050,1533,28995881
2020-05-25,Texas,48,56490,1536,28995881
2020-05-26,Texas,48,57573,1552,28995881
2020-05-27,Texas,48,59105,1598,28995881
2020-05-28,Texas,48,60820,1618,28995881
2020-05-29,Texas,48,62073,1645,28995881
2020-05-30,Texas,48,63396,1676,28995881
2020-05-31,Texas,48,64974,1683,28995881
2020-06-01,Texas,48,66081,1695,28995881
2020-06-02,Texas,48,67966,1732,28995881
2020-06-03,Texas,48,69546,1766,28995881
2020-06-04,Texas,48,71330,1793,28995881
2020-06-05,Texas,48,73324,1821,28995881
2020-02-25,Utah,49,1,0,3205958
2020-02-26,Utah,49,1,0,3205958
2020-02-27,Utah,49,1,0,3205958
2020-02-28,Utah,49,1,0,3205958
2020-02-29,Utah,49,1,0,3205958
2020-03-01,Utah,49,1,0,3205958
2020-03-02,Utah,49,1,0,3205958
2020-03-03,Utah,49,1,0,3205958
2020-03-04,Utah,49,1,0,3205958
2020-03-05,Utah,49,1,0,3205958
2020-03-06,Utah,49,3,0,3205958
2020-03-07,Utah,49,3,0,3205958
2020-03-08,Utah,49,3,0,3205958
2020-03-09,Utah,49,3,0,3205958
2020-03-10,Utah,49,4,0,3205958
2020-03-11,Utah,49,5,0,3205958
2020-03-12,Utah,49,7,0,3205958
2020-03-13,Utah,49,7,0,3205958
2020-03-14,Utah,49,21,0,3205958
2020-03-15,Utah,49,29,0,3205958
2020-03-16,Utah,49,40,0,3205958
2020-03-17,Utah,49,51,0,3205958
2020-03-18,Utah,49,65,0,3205958
2020-03-19,Utah,49,80,0,3205958
2020-03-20,Utah,49,112,0,3205958
2020-03-21,Utah,49,138,0,3205958
2020-03-22,Utah,49,182,1,3205958
